sku,units,weight,cost
Alpha,104,8,846.00
Bravo,102,5,961.00
Charlie,155,4,472.00
Delta,497,9,753.00
Echo,108,5,441.00
Foxtrot,371,7,912.00
Golf,144,8,789.00
Hotel,438,9,582.00
India,382,1,747.00
Juliett,375,7,932.00
Kilo,239,6,637.00
Lima,326,8,779.00
Mike,490,2,466.00
November,201,9,859.00
Oscar,487,1,877.00
Papa,283,4,898.00
Quebec,258,7,649.00
Romeo,262,10,598.00
Sierra,110,8,164.00
Tango,197,10,685.00
Uniform,474,5,640.00
Victor,414,5,734.00
Whiskey,431,8,256.00
XRay,493,5,786.00
Yankee,261,6,263.00
Zulu,105,8,487.00